dataset,alpha,metric,contrast,n_seeds,mean_diff,ci_low,ci_high,p_wilcoxon,p_holm,r_rank_biserial,sig
yeast,0.2,final_gen_gap,Distill-S vs Baseline-Half,20,-0.018316236778309455,-0.029803722334378613,-0.006090970515577409,0.009989902455487807,0.03995960982195123,-0.6571428571428571,*
yeast,0.4,final_gen_gap,Distill-S vs Baseline-Half,20,-0.016637352184245457,-0.02611504568410546,-0.007136743547885075,0.006389617919921875,0.031948089599609375,-0.6761904761904762,*
yeast,0.6,final_gen_gap,Distill-S vs Baseline-Half,20,-0.01000044432439303,-0.018853268249725046,-0.00031043036611458585,0.069580078125,0.208740234375,-0.4666666666666667,ns
yeast,0.8,final_gen_gap,Distill-S vs Baseline-Half,20,0.0015842733006728265,-0.006947404651108533,0.011063764146911454,0.9854354858398438,1.0,0.009523809523809525,ns
yeast,1.0,final_gen_gap,Distill-S vs Baseline-Half,20,0.002320223776917713,-0.004735098795828092,0.009696189701557164,0.5958194732666016,1.0,0.14285714285714285,ns
yeast,0.0,test_acc_best,Distill-S vs Baseline-Half,20,0.01043771043771044,0.004377104377104407,0.01666666666666667,0.0055380994818854815,0.027690497409427407,0.7647058823529411,*
yeast,0.2,test_acc_best,Distill-S vs Baseline-Half,20,0.008417508417508435,0.004040404040404044,0.012962962962962971,0.004495785573626973,0.026974713441761836,0.7421052631578947,*
yeast,0.4,test_acc_best,Distill-S vs Baseline-Half,20,0.005723905723905726,0.0005050505050505138,0.0111111111111111,0.06545505390445391,0.26182021561781565,0.5220588235294118,ns
yeast,0.6,test_acc_best,Distill-S vs Baseline-Half,20,0.0043771043771043735,-0.0008459595959596147,0.009764309764309764,0.1468423116766476,0.4405269350299428,0.37894736842105264,ns
yeast,0.8,test_acc_best,Distill-S vs Baseline-Half,20,-0.0018518518518518489,-0.007407407407407418,0.003535353535353547,0.6181681030123016,0.8133919461306007,-0.13725490196078433,ns
yeast,1.0,test_acc_best,Distill-S vs Baseline-Half,20,0.001683501683501698,-0.0023569023569023516,0.00589225589225591,0.40669597306530036,0.8133919461306007,0.2222222222222222,ns
yeast,0.0,test_acc_final,Distill-S vs Baseline-Half,20,0.005218855218855223,-0.0016835016835016925,0.012289562289562305,0.17011042662388887,1.0,0.35789473684210527,ns
yeast,0.2,test_acc_final,Distill-S vs Baseline-Half,20,0.0013468013468013406,-0.005218855218855229,0.008417508417508397,0.8443550144206554,1.0,0.05263157894736842,ns
yeast,0.4,test_acc_final,Distill-S vs Baseline-Half,20,0.003367003367003385,-0.005218855218855201,0.011784511784511809,0.23926076327640766,1.0,0.3157894736842105,ns
yeast,0.6,test_acc_final,Distill-S vs Baseline-Half,20,0.002693602693602709,-0.0026936026936026703,0.008080808080808105,0.2852293724798556,1.0,0.2714285714285714,ns
yeast,0.8,test_acc_final,Distill-S vs Baseline-Half,20,0.00016835016835017313,-0.005218855218855229,0.005555555555555575,0.812432208131742,1.0,0.06535947712418301,ns
yeast,1.0,test_acc_final,Distill-S vs Baseline-Half,20,-0.0015151515151515138,-0.005387205387205396,0.0026936026936027037,0.3424723078652784,1.0,-0.26143790849673204,ns
yeast,0.0,test_loss_best,Distill-S vs Baseline-Half,20,-0.02777191996574402,-0.03785105258226394,-0.01789872780442236,1.9073486328125e-05,0.00011444091796875,-0.9523809523809523,***
yeast,0.2,test_loss_best,Distill-S vs Baseline-Half,20,-0.017765668034553532,-0.02717305570840839,-0.007971813604235682,0.0023250579833984375,0.011625289916992188,-0.7428571428571429,*
yeast,0.4,test_loss_best,Distill-S vs Baseline-Half,20,-0.008572223782539374,-0.018462348729372028,0.0011846151202916863,0.1230926513671875,0.42159271240234375,-0.4,ns
yeast,0.6,test_loss_best,Distill-S vs Baseline-Half,20,-0.007821893692016557,-0.016637913584709146,0.0008334276080132146,0.10539817810058594,0.42159271240234375,-0.41904761904761906,ns
yeast,0.8,test_loss_best,Distill-S vs Baseline-Half,20,1.9598007202181744e-05,-0.00773479953408239,0.008283264040947003,0.956329345703125,0.956329345703125,-0.01904761904761905,ns
yeast,1.0,test_loss_best,Distill-S vs Baseline-Half,20,0.0023339033126830834,-0.00047596171498305335,0.005246903747320166,0.20244979858398438,0.42159271240234375,0.3333333333333333,ns
yeast,0.0,test_loss_final,Distill-S vs Baseline-Half,20,-0.04557240605354307,-0.05881431177258488,-0.03254050016403198,5.7220458984375e-06,3.4332275390625e-05,-0.9809523809523809,***
yeast,0.2,test_loss_final,Distill-S vs Baseline-Half,20,-0.03078406155109404,-0.044036830440163585,-0.018289791271090542,0.0003223419189453125,0.0016117095947265625,-0.8476190476190476,**
yeast,0.4,test_loss_final,Distill-S vs Baseline-Half,20,-0.01636957526206966,-0.02873811170458788,-0.004096849858760814,0.01531219482421875,0.04593658447265625,-0.6095238095238096,*
yeast,0.6,test_loss_final,Distill-S vs Baseline-Half,20,-0.010558921098709073,-0.02060726642608638,-0.00018674254417412917,0.03276824951171875,0.0655364990234375,-0.5428571428571428,ns
yeast,0.8,test_loss_final,Distill-S vs Baseline-Half,20,-0.0007623374462127352,-0.010535126179456645,0.00864570274949077,1.0,1.0,0.0,ns
yeast,1.0,test_loss_final,Distill-S vs Baseline-Half,20,0.007482635974884078,0.0030286179482937416,0.01198341384530074,0.0072956085205078125,0.02918243408203125,0.6666666666666666,*
