dataset,alpha,metric,contrast,n_seeds,mean_diff,ci_low,ci_high,p_wilcoxon,p_holm,r_rank_biserial,sig
yeast,1.0,test_acc_final,Distill-S vs Baseline-LS,20,-0.00033670033670034073,-0.004545454545454558,0.0037037037037036978,0.9514373066738735,1.0,-0.015789473684210527,ns
yeast,0.0,test_loss_best,Distill-S vs Baseline-LS,20,-0.04154468774795532,-0.05406168967485428,-0.029072382897138597,1.33514404296875e-05,8.0108642578125e-05,-0.9619047619047619,***
yeast,0.2,test_loss_best,Distill-S vs Baseline-LS,20,-0.03153843581676484,-0.04560173690319063,-0.01823485925793648,0.0003223419189453125,0.0016117095947265625,-0.8476190476190476,**
yeast,0.4,test_loss_best,Distill-S vs Baseline-LS,20,-0.02234499156475068,-0.036918095648288705,-0.007789317220449496,0.0072956085205078125,0.021886825561523438,-0.6666666666666666,*
yeast,0.6,test_loss_best,Distill-S vs Baseline-LS,20,-0.02159466147422786,-0.03306503519415852,-0.009689628481864887,0.0023250579833984375,0.00930023193359375,-0.7428571428571429,**
yeast,0.8,test_loss_best,Distill-S vs Baseline-LS,20,-0.013753169775009122,-0.02451475813984869,-0.0019756649434566178,0.039989471435546875,0.07997894287109375,-0.5238095238095238,ns
yeast,1.0,test_loss_best,Distill-S vs Baseline-LS,20,-0.01143886446952822,-0.024625901877880153,0.0029210063815116425,0.05316925048828125,0.07997894287109375,-0.49523809523809526,ns
yeast,0.0,test_loss_final,Distill-S vs Baseline-LS,20,-0.04494501948356629,-0.058570705205202106,-0.031928702741861346,5.7220458984375e-06,3.4332275390625e-05,-0.9809523809523809,***
yeast,0.2,test_loss_final,Distill-S vs Baseline-LS,20,-0.030156674981117255,-0.0459637254476547,-0.015360856503248234,0.000850677490234375,0.004253387451171875,-0.8,**
yeast,0.4,test_loss_final,Distill-S vs Baseline-LS,20,-0.015742188692092873,-0.031642758846282926,-0.00040527030825614587,0.08969497680664062,0.3587799072265625,-0.4380952380952381,ns
yeast,0.6,test_loss_final,Distill-S vs Baseline-LS,20,-0.00993153452873229,-0.022405530512332916,0.002429556995630295,0.1230926513671875,0.3692779541015625,-0.4,ns
yeast,0.8,test_loss_final,Distill-S vs Baseline-LS,20,-0.00013495087623595082,-0.012324903607368435,0.012575204074382779,0.8983173370361328,1.0,-0.0380952380952381,ns
yeast,1.0,test_loss_final,Distill-S vs Baseline-LS,20,0.008110022544860863,-0.007602693587541526,0.025751902759075206,0.5958194732666016,1.0,0.14285714285714285,ns
