dataset,alpha,group,seed,e_star,best_val_acc,auc_val,final_gen_gap,train_acc_final,val_acc_final,n_epochs,test_acc_best,test_acc_final,test_loss_best,test_loss_final,ece_best,ece_final,entropy_mean_best,conf_mean_best,teacher_test_acc,teacher_ece,teacher_conf_mean,teacher_entropy_mean,teacher_soft_entropy,teacher_soft_conf,agreement_overlap,agreement_nonoverlap
cifar10,0.8,Baseline-Full,12,5,0.8089,19.80755,0.16402499999999998,0.983425,0.8194,26,0.8048,0.8089,0.5948939323425293,1.0570029020309448,0.04879986727535725,0.13561156048774717,0.4100915491580963,0.8534773588180542,,,,,,,,
cifar10,1.0,Baseline-Full,12,5,0.8089,19.80755,0.16402499999999998,0.983425,0.8194,26,0.8048,0.8089,0.5948939323425293,1.0570029020309448,0.04879986727535725,0.13561156048774717,0.4100915491580963,0.8534773588180542,,,,,,,,
cifar10,0.0,Baseline-Full,13,4,0.7887,18.7552,0.17707499999999998,0.985875,0.8088,25,0.7845,0.8009,0.6263832449913025,1.0790483951568604,0.031390233610570445,0.1398919423848391,0.5231041312217712,0.8150960803031921,,,,,,,,
cifar10,0.2,Baseline-Full,13,4,0.7887,18.7552,0.17707499999999998,0.985875,0.8088,25,0.7845,0.8009,0.6263832449913025,1.0790483951568604,0.031390233610570445,0.1398919423848391,0.5231041312217712,0.8150960803031921,,,,,,,,
cifar10,0.4,Baseline-Full,13,4,0.7887,18.7552,0.17707499999999998,0.985875,0.8088,25,0.7845,0.8009,0.6263832449913025,1.0790483951568604,0.031390233610570445,0.1398919423848391,0.5231041312217712,0.8150960803031921,,,,,,,,
cifar10,0.6,Baseline-Full,13,4,0.7887,18.7552,0.17707499999999998,0.985875,0.8088,25,0.7845,0.8009,0.6263832449913025,1.0790483951568604,0.031390233610570445,0.1398919423848391,0.5231041312217712,0.8150960803031921,,,,,,,,
cifar10,0.8,Baseline-Full,13,4,0.7887,18.7552,0.17707499999999998,0.985875,0.8088,25,0.7845,0.8009,0.6263832449913025,1.0790483951568604,0.031390233610570445,0.1398919423848391,0.5231041312217712,0.8150960803031921,,,,,,,,
cifar10,1.0,Baseline-Full,13,4,0.7887,18.7552,0.17707499999999998,0.985875,0.8088,25,0.7845,0.8009,0.6263832449913025,1.0790483951568604,0.031390233610570445,0.1398919423848391,0.5231041312217712,0.8150960803031921,,,,,,,,
cifar10,0.0,Baseline-Full,14,5,0.7867,19.726599999999998,0.18422499999999997,0.990525,0.8063,26,0.7816,0.8037,0.6555571556091309,1.1639487743377686,0.04998844740539787,0.14503190000355243,0.46905985474586487,0.8300862312316895,,,,,,,,
cifar10,0.2,Baseline-Full,14,5,0.7867,19.726599999999998,0.18422499999999997,0.990525,0.8063,26,0.7816,0.8037,0.6555571556091309,1.1639487743377686,0.04998844740539787,0.14503190000355243,0.46905985474586487,0.8300862312316895,,,,,,,,
cifar10,0.4,Baseline-Full,14,5,0.7867,19.726599999999998,0.18422499999999997,0.990525,0.8063,26,0.7816,0.8037,0.6555571556091309,1.1639487743377686,0.04998844740539787,0.14503190000355243,0.46905985474586487,0.8300862312316895,,,,,,,,
cifar10,0.6,Baseline-Full,14,5,0.7867,19.726599999999998,0.18422499999999997,0.990525,0.8063,26,0.7816,0.8037,0.6555571556091309,1.1639487743377686,0.04998844740539787,0.14503190000355243,0.46905985474586487,0.8300862312316895,,,,,,,,
cifar10,0.8,Baseline-Full,14,5,0.7867,19.726599999999998,0.18422499999999997,0.990525,0.8063,26,0.7816,0.8037,0.6555571556091309,1.1639487743377686,0.04998844740539787,0.14503190000355243,0.46905985474586487,0.8300862312316895,,,,,,,,
cifar10,1.0,Baseline-Full,14,5,0.7867,19.726599999999998,0.18422499999999997,0.990525,0.8063,26,0.7816,0.8037,0.6555571556091309,1.1639487743377686,0.04998844740539787,0.14503190000355243,0.46905985474586487,0.8300862312316895,,,,,,,,
cifar10,0.0,Baseline-Full,15,4,0.7868,18.8462,0.16659999999999997,0.9787,0.8121,25,0.7871,0.804,0.619242787361145,1.0913196802139282,0.03073439959287642,0.1395065044343472,0.5207988023757935,0.8151124119758606,,,,,,,,
cifar10,0.2,Baseline-Full,15,4,0.7868,18.8462,0.16659999999999997,0.9787,0.8121,25,0.7871,0.804,0.619242787361145,1.0913196802139282,0.03073439959287642,0.1395065044343472,0.5207988023757935,0.8151124119758606,,,,,,,,
cifar10,0.4,Baseline-Full,15,4,0.7868,18.8462,0.16659999999999997,0.9787,0.8121,25,0.7871,0.804,0.619242787361145,1.0913196802139282,0.03073439959287642,0.1395065044343472,0.5207988023757935,0.8151124119758606,,,,,,,,
cifar10,0.6,Baseline-Full,15,4,0.7868,18.8462,0.16659999999999997,0.9787,0.8121,25,0.7871,0.804,0.619242787361145,1.0913196802139282,0.03073439959287642,0.1395065044343472,0.5207988023757935,0.8151124119758606,,,,,,,,
cifar10,0.8,Baseline-Full,15,4,0.7868,18.8462,0.16659999999999997,0.9787,0.8121,25,0.7871,0.804,0.619242787361145,1.0913196802139282,0.03073439959287642,0.1395065044343472,0.5207988023757935,0.8151124119758606,,,,,,,,
cifar10,1.0,Baseline-Full,15,4,0.7868,18.8462,0.16659999999999997,0.9787,0.8121,25,0.7871,0.804,0.619242787361145,1.0913196802139282,0.03073439959287642,0.1395065044343472,0.5207988023757935,0.8151124119758606,,,,,,,,
cifar10,0.0,Baseline-Full,16,5,0.7891,19.646649999999998,0.17562500000000003,0.986425,0.8108,26,0.7888,0.8041,0.6239096522331238,1.1721556186676025,0.05466075324714185,0.1431267668455839,0.42796942591667175,0.8433542251586914,,,,,,,,
cifar10,0.2,Baseline-Full,16,5,0.7891,19.646649999999998,0.17562500000000003,0.986425,0.8108,26,0.7888,0.8041,0.6239096522331238,1.1721556186676025,0.05466075324714185,0.1431267668455839,0.42796942591667175,0.8433542251586914,,,,,,,,
cifar10,0.4,Baseline-Full,16,5,0.7891,19.646649999999998,0.17562500000000003,0.986425,0.8108,26,0.7888,0.8041,0.6239096522331238,1.1721556186676025,0.05466075324714185,0.1431267668455839,0.42796942591667175,0.8433542251586914,,,,,,,,
cifar10,0.6,Baseline-Full,16,5,0.7891,19.646649999999998,0.17562500000000003,0.986425,0.8108,26,0.7888,0.8041,0.6239096522331238,1.1721556186676025,0.05466075324714185,0.1431267668455839,0.42796942591667175,0.8433542251586914,,,,,,,,
cifar10,0.8,Baseline-Full,16,5,0.7891,19.646649999999998,0.17562500000000003,0.986425,0.8108,26,0.7888,0.8041,0.6239096522331238,1.1721556186676025,0.05466075324714185,0.1431267668455839,0.42796942591667175,0.8433542251586914,,,,,,,,
cifar10,1.0,Baseline-Full,16,5,0.7891,19.646649999999998,0.17562500000000003,0.986425,0.8108,26,0.7888,0.8041,0.6239096522331238,1.1721556186676025,0.05466075324714185,0.1431267668455839,0.42796942591667175,0.8433542251586914,,,,,,,,
cifar10,0.0,Baseline-Full,17,7,0.8122,21.31125,0.17269999999999996,0.9859,0.8132,28,0.8109,0.8067,0.5943325757980347,1.1802856922149658,0.05517553001046182,0.14477598246634005,0.3693828582763672,0.8660755753517151,,,,,,,,
