dataset,alpha,group,e_star_mean,e_star_std,best_val_acc_mean,best_val_acc_std,final_gen_gap_mean,final_gen_gap_std
Wine,0.4,Baseline-Full,168.65,119.2517,0.9786,0.0293,0.0232,0.029
Wine,0.4,Baseline-Half,199.15,112.0001,0.9661,0.0375,0.0339,0.0375
Wine,0.4,Distill-S,167.45,95.924,0.9679,0.04,0.0313,0.0409
Wine,0.6,Baseline-Full,168.65,119.2517,0.9786,0.0293,0.0232,0.029
Wine,0.6,Baseline-Half,199.15,112.0001,0.9661,0.0375,0.0339,0.0375
Wine,0.6,Distill-S,197.05,98.069,0.9696,0.0371,0.0286,0.0377
Wine,0.8,Baseline-Full,168.65,119.2517,0.9786,0.0293,0.0232,0.029
Wine,0.8,Baseline-Half,199.15,112.0001,0.9661,0.0375,0.0339,0.0375
Wine,0.8,Distill-S,173.55,103.1975,0.9661,0.0393,0.0339,0.0393
Wine,1.0,Baseline-Full,168.65,119.2517,0.9786,0.0293,0.0232,0.029
Wine,1.0,Baseline-Half,199.15,112.0001,0.9661,0.0375,0.0339,0.0375
Wine,1.0,Distill-S,186.5,100.3166,0.9661,0.0375,0.0339,0.0375
