dataset,alpha,group,seed,e_star,best_val_acc,auc_val,final_gen_gap
Wine,1.0,Baseline-Half,4,37,0.8928571343421936,49.99999962747097,0.1071428656578064
Wine,1.0,Baseline-Full,4,25,0.8928571343421936,39.78571394085884,0.1071428656578064
Wine,0.0,Distill-S,4,54,0.9285714030265808,67.55356977880001,0.0714285969734191
Wine,0.2,Distill-S,4,41,0.9285714030265808,54.85714183747768,0.1071428656578064
Wine,0.4,Distill-S,4,38,0.8928571343421936,51.78571347892285,0.1071428656578064
Wine,0.6,Distill-S,4,38,0.8928571343421936,51.35714219510555,0.1071428656578064
Wine,0.8,Distill-S,4,37,0.8928571343421936,49.99999962747097,0.1071428656578064
Wine,1.0,Distill-S,4,37,0.8928571343421936,49.99999962747097,0.1071428656578064
Wine,0.0,Baseline-Half,5,299,1.0,296.1785716414452,0.0
Wine,0.0,Baseline-Full,5,113,1.0,131.5000001490116,0.0
Wine,0.2,Baseline-Half,5,299,1.0,296.1785716414452,0.0
Wine,0.2,Baseline-Full,5,113,1.0,131.5000001490116,0.0
Wine,0.4,Baseline-Half,5,299,1.0,296.1785716414452,0.0
Wine,0.4,Baseline-Full,5,113,1.0,131.5000001490116,0.0
Wine,0.6,Baseline-Half,5,299,1.0,296.1785716414452,0.0
Wine,0.6,Baseline-Full,5,113,1.0,131.5000001490116,0.0
Wine,0.8,Baseline-Half,5,299,1.0,296.1785716414452,0.0
Wine,0.8,Baseline-Full,5,113,1.0,131.5000001490116,0.0
Wine,1.0,Baseline-Half,5,299,1.0,296.1785716414452,0.0
Wine,1.0,Baseline-Full,5,113,1.0,131.5000001490116,0.0
Wine,0.0,Distill-S,5,299,1.0,296.1071431040764,0.0
Wine,0.2,Distill-S,5,148,0.9642857313156128,161.26785916090012,0.0357142686843872
Wine,0.4,Distill-S,5,130,1.0,147.14285737276077,0.0
Wine,0.6,Distill-S,5,238,1.0,253.1785716414452,0.0
Wine,0.8,Distill-S,5,206,1.0,222.1428573727608,0.0
Wine,1.0,Distill-S,5,299,1.0,296.1785716414452,0.0
Wine,0.0,Baseline-Half,6,299,1.0,290.66071420907974,0.0
Wine,0.0,Baseline-Full,6,299,1.0,294.4464292228222,0.0
Wine,0.2,Baseline-Half,6,299,1.0,290.66071420907974,0.0
Wine,0.2,Baseline-Full,6,299,1.0,294.4464292228222,0.0
Wine,0.4,Baseline-Half,6,299,1.0,290.66071420907974,0.0
Wine,0.4,Baseline-Full,6,299,1.0,294.4464292228222,0.0
Wine,0.6,Baseline-Half,6,299,1.0,290.66071420907974,0.0
Wine,0.6,Baseline-Full,6,299,1.0,294.4464292228222,0.0
Wine,0.8,Baseline-Half,6,299,1.0,290.66071420907974,0.0
Wine,0.8,Baseline-Full,6,299,1.0,294.4464292228222,0.0
Wine,1.0,Baseline-Half,6,299,1.0,290.66071420907974,0.0
Wine,1.0,Baseline-Full,6,299,1.0,294.4464292228222,0.0
Wine,0.0,Distill-S,6,203,0.9642857313156128,207.9642888307572,0.0357142686843872
Wine,0.2,Distill-S,6,299,1.0,287.69642996788025,0.0
Wine,0.4,Distill-S,6,299,1.0,290.7321427464485,0.0
Wine,0.6,Distill-S,6,296,1.0,290.66071420907974,0.0
Wine,0.8,Distill-S,6,299,1.0,290.69642847776413,0.0
Wine,1.0,Distill-S,6,299,1.0,290.69642847776413,0.0
Wine,0.0,Baseline-Half,7,299,1.0,297.267857208848,0.0
Wine,0.0,Baseline-Full,7,299,1.0,297.9285715073347,0.0
Wine,0.2,Baseline-Half,7,299,1.0,297.267857208848,0.0
Wine,0.2,Baseline-Full,7,299,1.0,297.9285715073347,0.0
Wine,0.4,Baseline-Half,7,299,1.0,297.267857208848,0.0
Wine,0.4,Baseline-Full,7,299,1.0,297.9285715073347,0.0
Wine,0.6,Baseline-Half,7,299,1.0,297.267857208848,0.0
Wine,0.6,Baseline-Full,7,299,1.0,297.9285715073347,0.0
Wine,0.8,Baseline-Half,7,299,1.0,297.267857208848,0.0
Wine,0.8,Baseline-Full,7,299,1.0,297.9285715073347,0.0
Wine,1.0,Baseline-Half,7,299,1.0,297.267857208848,0.0
Wine,1.0,Baseline-Full,7,299,1.0,297.9285715073347,0.0
Wine,0.0,Distill-S,7,93,0.9642857313156128,107.23214443773033,0.0181704090352643
Wine,0.2,Distill-S,7,149,1.0,167.16071440279484,0.0
Wine,0.4,Distill-S,7,135,1.0,153.3035714775324,0.0
Wine,0.6,Distill-S,7,299,1.0,297.2321429401636,0.0
Wine,0.8,Distill-S,7,299,1.0,297.267857208848,0.0
Wine,1.0,Distill-S,7,272,1.0,288.30357153713703,0.0
Wine,0.0,Baseline-Half,8,299,1.0,292.46428604424,0.0
Wine,0.0,Baseline-Full,8,299,1.0,295.8571429103613,0.0
Wine,0.2,Baseline-Half,8,299,1.0,292.46428604424,0.0
Wine,0.2,Baseline-Full,8,299,1.0,295.8571429103613,0.0
Wine,0.4,Baseline-Half,8,299,1.0,292.46428604424,0.0
Wine,0.4,Baseline-Full,8,299,1.0,295.8571429103613,0.0
Wine,0.6,Baseline-Half,8,299,1.0,292.46428604424,0.0
Wine,0.6,Baseline-Full,8,299,1.0,295.8571429103613,0.0
Wine,0.8,Baseline-Half,8,299,1.0,292.46428604424,0.0
Wine,0.8,Baseline-Full,8,299,1.0,295.8571429103613,0.0
Wine,1.0,Baseline-Half,8,299,1.0,292.46428604424,0.0
Wine,1.0,Baseline-Full,8,299,1.0,295.8571429103613,0.0
Wine,0.0,Distill-S,8,158,1.0,171.92857159674168,0.0
Wine,0.2,Distill-S,8,169,1.0,182.83928591012955,0.0
Wine,0.4,Distill-S,8,163,1.0,176.94642859697342,0.0
Wine,0.6,Distill-S,8,120,0.9642857313156128,130.85714423656464,0.0357142686843872
Wine,0.8,Distill-S,8,120,1.0,133.83928579092026,0.0
Wine,1.0,Distill-S,8,193,1.0,206.46428604424,0.0
Wine,0.0,Baseline-Half,9,299,0.9642857313156128,283.37500317394733,0.0357142686843872
Wine,0.0,Baseline-Full,9,227,1.0,236.4821454882621,0.0357142686843872
Wine,0.2,Baseline-Half,9,299,0.9642857313156128,283.37500317394733,0.0357142686843872
Wine,0.2,Baseline-Full,9,227,1.0,236.4821454882621,0.0357142686843872
Wine,0.4,Baseline-Half,9,299,0.9642857313156128,283.37500317394733,0.0357142686843872
Wine,0.4,Baseline-Full,9,227,1.0,236.4821454882621,0.0357142686843872
Wine,0.6,Baseline-Half,9,299,0.9642857313156128,283.37500317394733,0.0357142686843872
Wine,0.6,Baseline-Full,9,227,1.0,236.4821454882621,0.0357142686843872
Wine,0.8,Baseline-Half,9,299,0.9642857313156128,283.37500317394733,0.0357142686843872
Wine,0.8,Baseline-Full,9,227,1.0,236.4821454882621,0.0357142686843872
