dataset,beta,group,seed,e_star,best_val_acc,auc_val,final_gen_gap
BreastCancer,0.2,Baseline-Student,0,9,0.9670329689979553,27.978022038936615,0.0261177159335515
BreastCancer,0.2,Distill-S,0,69,0.9780219793319702,86.53296718001366,0.011704048065290018
BreastCancer,0.2,Baseline-Full,0,9,0.9670329689979553,27.87912094593048,0.027472525507539203
BreastCancer,0.3,Baseline-Student,0,12,0.9670329689979553,30.769230842590332,0.03611290408115764
BreastCancer,0.3,Distill-S,0,15,0.9670329689979553,33.70329678058624,0.03219133545370667
BreastCancer,0.3,Baseline-Full,0,9,0.9670329689979553,27.87912094593048,0.027472525507539203
BreastCancer,0.4,Baseline-Student,0,14,0.9560439586639404,32.64285722374916,0.03482362124473537
BreastCancer,0.4,Distill-S,0,17,0.9670329689979553,35.57692316174507,0.030257411199073214
BreastCancer,0.4,Baseline-Full,0,9,0.9670329689979553,27.87912094593048,0.027472525507539203
BreastCancer,0.5,Baseline-Student,0,15,0.9670329689979553,33.527472615242004,0.04395604068106351
BreastCancer,0.5,Distill-S,0,16,0.9670329689979553,34.57692316174507,0.027472524852543034
BreastCancer,0.5,Baseline-Full,0,9,0.9670329689979553,27.87912094593048,0.027472525507539203
BreastCancer,0.6,Baseline-Student,0,17,0.9670329689979553,35.63736271858215,0.03296703100204468
BreastCancer,0.6,Distill-S,0,20,0.9670329689979553,38.10439571738243,0.05908474693559618
BreastCancer,0.6,Baseline-Full,0,9,0.9670329689979553,27.87912094593048,0.027472525507539203
BreastCancer,0.7,Baseline-Student,0,20,0.9450549483299255,38.10439571738243,0.04395604133605957
BreastCancer,0.7,Distill-S,0,24,0.9450549483299255,42.0054946243763,0.02387612191113564
BreastCancer,0.7,Baseline-Full,0,9,0.9670329689979553,27.87912094593048,0.027472525507539203
BreastCancer,0.8,Baseline-Student,0,29,0.9560439586639404,46.71978035569191,0.04395604133605957
BreastCancer,0.8,Distill-S,0,37,0.9670329689979553,54.84615397453308,0.04395604133605957
BreastCancer,0.8,Baseline-Full,0,9,0.9670329689979553,27.87912094593048,0.027472525507539203
BreastCancer,0.2,Baseline-Student,1,14,0.9670329689979553,32.82417589426041,0.021978020668029785
BreastCancer,0.2,Distill-S,1,34,0.9780219793319702,52.60439568758011,-0.001994582071696227
BreastCancer,0.2,Baseline-Full,1,12,0.9780219793319702,31.18131873011589,0.019230767920777048
BreastCancer,0.3,Baseline-Student,1,11,0.9560439586639404,29.587912172079086,0.04395604133605957
BreastCancer,0.3,Distill-S,1,39,0.9890109896659851,57.69230777025223,-0.0007756955483380068
BreastCancer,0.3,Baseline-Full,1,12,0.9780219793319702,31.18131873011589,0.019230767920777048
BreastCancer,0.4,Baseline-Student,1,12,0.9560439586639404,30.587912172079086,0.03296703100204468
BreastCancer,0.4,Distill-S,1,70,0.9890109896659851,88.07142868638039,0.0018565902426906922
BreastCancer,0.4,Baseline-Full,1,12,0.9780219793319702,31.18131873011589,0.019230767920777048
BreastCancer,0.5,Baseline-Student,1,17,0.9560439586639404,35.34615394473076,0.04395604133605957
BreastCancer,0.5,Distill-S,1,20,0.9780219793319702,38.741758316755295,0.01648351517352431
BreastCancer,0.5,Baseline-Full,1,12,0.9780219793319702,31.18131873011589,0.019230767920777048
BreastCancer,0.6,Baseline-Student,1,23,0.9560439586639404,41.01648363471031,0.03296703100204468
BreastCancer,0.6,Distill-S,1,35,0.9670329689979553,52.96153858304024,0.0261177159335515
BreastCancer,0.6,Baseline-Full,1,12,0.9780219793319702,31.18131873011589,0.019230767920777048
BreastCancer,0.7,Baseline-Student,1,49,0.9670329689979553,66.36263751983643,0.03296703100204468
BreastCancer,0.7,Distill-S,1,34,0.9670329689979553,51.89011001586914,0.03296703100204468
BreastCancer,0.7,Baseline-Full,1,12,0.9780219793319702,31.18131873011589,0.019230767920777048
BreastCancer,0.8,Baseline-Student,1,122,0.9670329689979553,136.5384618639946,0.03296703100204468
BreastCancer,0.8,Distill-S,1,75,0.9670329689979553,91.26373648643494,0.03296703100204468
BreastCancer,0.8,Baseline-Full,1,12,0.9780219793319702,31.18131873011589,0.019230767920777048
BreastCancer,0.2,Baseline-Student,2,8,0.9450549483299255,26.219780325889587,0.05494505167007446
BreastCancer,0.2,Distill-S,2,9,0.9560439586639404,27.4505495429039,0.03710672626756639
BreastCancer,0.2,Baseline-Full,2,7,0.9340659379959106,25.291208893060684,0.06593406200408936
BreastCancer,0.3,Baseline-Student,2,9,0.9450549483299255,27.137362748384476,0.06593406200408936
BreastCancer,0.3,Distill-S,2,12,0.9560439586639404,30.13186824321747,0.054169356121736456
BreastCancer,0.3,Baseline-Full,2,7,0.9340659379959106,25.291208893060684,0.06593406200408936
BreastCancer,0.4,Baseline-Student,2,11,0.9340659379959106,28.928571552038193,0.05494505167007446
BreastCancer,0.4,Distill-S,2,13,0.9450549483299255,30.818681448698044,0.05037884162441231
BreastCancer,0.4,Baseline-Full,2,7,0.9340659379959106,25.291208893060684,0.06593406200408936
BreastCancer,0.5,Baseline-Student,2,12,0.9560439586639404,29.82417595386505,0.05494505167007446
BreastCancer,0.5,Distill-S,2,13,0.9450549483299255,30.736263871192932,0.05494505167007446
BreastCancer,0.5,Baseline-Full,2,7,0.9340659379959106,25.291208893060684,0.06593406200408936
BreastCancer,0.6,Baseline-Student,2,17,0.9340659379959106,34.25274741649628,0.05494505167007446
BreastCancer,0.6,Distill-S,2,24,0.9450549483299255,41.09340676665306,0.04395604133605957
BreastCancer,0.6,Baseline-Full,2,7,0.9340659379959106,25.291208893060684,0.06593406200408936
BreastCancer,0.7,Baseline-Student,2,18,0.9340659379959106,34.68681336939335,0.06593406200408936
BreastCancer,0.7,Distill-S,2,26,0.9450549483299255,42.26923097670078,0.05494505167007446
BreastCancer,0.7,Baseline-Full,2,7,0.9340659379959106,25.291208893060684,0.06593406200408936
BreastCancer,0.8,Baseline-Student,2,22,0.9340659379959106,38.08791230618954,0.06593406200408936
BreastCancer,0.8,Distill-S,2,28,0.9340659379959106,43.703296944499016,0.06593406200408936
BreastCancer,0.8,Baseline-Full,2,7,0.9340659379959106,25.291208893060684,0.06593406200408936
BreastCancer,0.2,Baseline-Student,3,11,0.9670329689979553,29.917582482099533,0.018553363133783196
BreastCancer,0.2,Distill-S,3,11,0.9560439586639404,29.175824284553528,0.03439710646459504
BreastCancer,0.2,Baseline-Full,3,8,0.9670329689979553,27.09340664744377,0.021978020668029785
BreastCancer,0.3,Baseline-Student,3,12,0.9670329689979553,30.648351728916168,0.03296703100204468
BreastCancer,0.3,Distill-S,3,12,0.9560439586639404,30.197802305221558,0.04710191441517253
BreastCancer,0.3,Baseline-Full,3,8,0.9670329689979553,27.09340664744377,0.021978020668029785
BreastCancer,0.4,Baseline-Student,3,13,0.9670329689979553,31.64285722374916,0.021978020668029785
BreastCancer,0.4,Distill-S,3,13,0.9560439586639404,31.3021979033947,0.04124642153308811
BreastCancer,0.4,Baseline-Full,3,8,0.9670329689979553,27.09340664744377,0.021978020668029785
BreastCancer,0.5,Baseline-Student,3,17,0.9670329689979553,35.291208893060684,0.03296703100204468
BreastCancer,0.5,Distill-S,3,18,0.9780219793319702,36.28021988272667,0.038461535841554095
BreastCancer,0.5,Baseline-Full,3,8,0.9670329689979553,27.09340664744377,0.021978020668029785
BreastCancer,0.6,Baseline-Student,3,18,0.9780219793319702,36.30769240856171,0.03296703100204468
