dataset,beta,metric,contrast,n_seeds,mean_diff,ci_low,ci_high,p_wilcoxon,p_holm,r_rank_biserial,sig
digits,0.5,ece_final,Distill-S vs Baseline-Student,20,-0.004545342649022725,-0.007930286818753077,-0.0011794404399374187,0.017181396484375,0.395172119140625,-0.6,ns
digits,0.6,ece_final,Distill-S vs Baseline-Student,20,-0.00525608094616072,-0.00797955593241694,-0.0026448546800141816,0.000850677490234375,0.022968292236328125,-0.8,*
digits,0.7,ece_final,Distill-S vs Baseline-Student,20,-0.004996627215296036,-0.008019152401248002,-0.0019514635117052288,0.002712249755859375,0.06780624389648438,-0.7333333333333333,ns
digits,0.8,ece_final,Distill-S vs Baseline-Student,20,-0.008312729663319056,-0.01302180526721187,-0.004032522993007072,0.0019855499267578125,0.051624298095703125,-0.7523809523809524,ns
glass,0.2,ece_final,Distill-S vs Baseline-Student,20,0.02107698151538539,0.003993875982109923,0.03742853239525196,0.029575347900390625,0.6210823059082031,0.5523809523809524,ns
glass,0.3,ece_final,Distill-S vs Baseline-Student,20,0.014035731692646797,-0.006799823769996361,0.03443630988254795,0.21616744995117188,1.0,0.3238095238095238,ns
glass,0.4,ece_final,Distill-S vs Baseline-Student,20,0.001305235956990443,-0.018542874947536828,0.019635324700800493,0.6215133666992188,1.0,0.13333333333333333,ns
glass,0.5,ece_final,Distill-S vs Baseline-Student,20,0.0016817144876302577,-0.023490727134048962,0.027534845992056394,0.7561664581298828,1.0,0.08571428571428572,ns
glass,0.6,ece_final,Distill-S vs Baseline-Student,20,-0.023788217922975852,-0.051279145540712855,0.006020577222455371,0.082550048828125,1.0,-0.44761904761904764,ns
glass,0.7,ece_final,Distill-S vs Baseline-Student,20,-0.0028282294612984363,-0.023689427186063552,0.016730917932595624,0.8983173370361328,1.0,0.0380952380952381,ns
glass,0.8,ece_final,Distill-S vs Baseline-Student,20,-0.02281657890524974,-0.05337521096214999,0.007700115269873046,0.1893482208251953,1.0,-0.34285714285714286,ns
wine,0.2,ece_final,Distill-S vs Baseline-Student,20,0.02273518794940576,0.01295388659255371,0.03290976634973452,0.0004825592041015625,0.01351165771484375,0.8285714285714286,*
wine,0.3,ece_final,Distill-S vs Baseline-Student,20,0.010248702019453042,0.0023667439849426315,0.018393138894397344,0.03623390197753906,0.7246780395507812,0.5333333333333333,ns
wine,0.4,ece_final,Distill-S vs Baseline-Student,20,0.0032871054278479596,-0.0044148258471654635,0.010615167089013573,0.4304332733154297,1.0,0.20952380952380953,ns
wine,0.5,ece_final,Distill-S vs Baseline-Student,20,0.00859172551168336,-0.0004961623841275803,0.01840910600808761,0.1893482208251953,1.0,0.34285714285714286,ns
wine,0.6,ece_final,Distill-S vs Baseline-Student,20,-0.004753770679235455,-0.01268435896995166,0.003517630750106457,0.21616744995117188,1.0,-0.3238095238095238,ns
wine,0.7,ece_final,Distill-S vs Baseline-Student,20,-0.005488892810212251,-0.011461597979068767,0.00013558077315489454,0.08969497680664062,1.0,-0.4380952380952381,ns
