key,e_star,best_val_acc,auc_val,final_gen_gap,train_acc_final,val_acc_final,n_epochs,test_acc_best,test_acc_final,test_loss_best,test_loss_final,ece_best,ece_final,entropy_mean_best,conf_mean_best,teacher_test_acc
"('glass', 'cap', (32, 16), 0)",21,0.47058823704719543,19.66176488250494,0.16709292237309437,0.6376811594202898,0.47058823704719543,42,0.3488372093023256,0.3953488372093023,1.5324456691741943,1.5440924167633057,0.1362495782763459,0.2195113564646521,1.3949601650238037,0.42790502309799194,0.4186046511627907
"('glass', 'cap', (64, 32), 0)",152,0.6470588445663452,96.0000014975667,0.19394715108733251,0.8115942028985508,0.6176470518112183,173,0.6511627906976745,0.6511627906976745,1.176578164100647,1.1817052364349365,0.16715554581132047,0.18564808576606037,0.6332462430000305,0.7669094204902649,0.6046511627906976
"('glass', 'cap', (128, 64), 0)",23,0.5,21.294117994606495,0.1513214016306228,0.7101449275362319,0.5588235259056091,44,0.3488372093023256,0.5581395348837209,1.512056589126587,1.5140249729156494,0.1782344794550607,0.17864757013875388,1.3502039909362793,0.4512082040309906,0.6744186046511628
"('glass', 'cap', (32, 16), 1)",89,0.6470588445663452,66.27941251546144,0.1500426047090171,0.7971014492753623,0.6470588445663452,110,0.6744186046511628,0.6976744186046512,0.885988712310791,0.8625746369361877,0.11944040378858878,0.17717479204022607,0.8037961721420288,0.6850632429122925,0.6744186046511628
"('glass', 'cap', (64, 32), 1)",89,0.6176470518112183,67.2647063806653,0.12063087155853491,0.7971014492753623,0.6764705777168274,110,0.6744186046511628,0.7441860465116279,0.8534957766532898,0.8237186670303345,0.14509147682855295,0.16391621911248494,0.8259012699127197,0.6708070039749146,0.7441860465116279
"('glass', 'cap', (128, 64), 1)",100,0.6764705777168274,75.67647130042315,0.13512362518172338,0.8115942028985508,0.6764705777168274,121,0.7209302325581395,0.7674418604651163,0.8126044273376465,0.7886625528335571,0.15491480536239094,0.19633014118948647,0.7993714809417725,0.6759127974510193,0.7906976744186046
"('glass', 'cap', (32, 16), 2)",62,0.7058823704719543,48.75000078231096,-0.010656422463016235,0.7246376811594203,0.7352941036224365,83,0.627906976744186,0.6744186046511628,0.8683221340179443,0.8671634793281555,0.1852379926415377,0.14723926505377127,0.9608007669448853,0.5942718386650085,0.627906976744186
"('glass', 'cap', (64, 32), 2)",61,0.6764705777168274,47.35294183343649,0.06265985706578125,0.7391304347826086,0.6764705777168274,82,0.6744186046511628,0.6744186046511628,0.903102457523346,0.9389480948448181,0.15645751842232639,0.17869557960088867,0.9672157168388367,0.5771276354789734,0.6511627906976745
"('glass', 'cap', (128, 64), 2)",62,0.7058823704719543,47.485294841229916,0.04774081793384277,0.7536231884057971,0.7058823704719543,83,0.6511627906976745,0.7441860465116279,0.8776645064353943,0.9163019061088562,0.24904983473378556,0.2686319531396378,0.9593746066093445,0.5763183236122131,0.6744186046511628
"('glass', 'cap', (32, 16), 3)",64,0.529411792755127,37.897059777751565,0.1811594202898551,0.6811594202898551,0.5,85,0.627906976744186,0.6744186046511628,0.8269271850585938,0.7825811505317688,0.1110506605270297,0.13584779376207398,0.9414154887199402,0.6229669451713562,0.7441860465116279
"('glass', 'cap', (64, 32), 3)",63,0.5,37.42647130228579,0.1811594202898551,0.6811594202898551,0.5,84,0.5813953488372093,0.6976744186046512,0.8483181595802307,0.8299359083175659,0.13498963796815208,0.21295557465664178,0.9086529016494751,0.6237869262695312,0.7209302325581395
"('glass', 'cap', (128, 64), 3)",63,0.5,36.661765629425645,0.1376811594202898,0.6376811594202898,0.5,84,0.6744186046511628,0.6744186046511628,0.7927255630493164,0.7778887152671814,0.21146926768990454,0.1401468674803889,0.8987557291984558,0.6306937336921692,0.7441860465116279
