dataset,beta,group,seed,e_star,best_val_acc,auc_val,final_gen_gap,train_acc_final,val_acc_final,n_epochs,test_acc_best,test_acc_final,test_loss_best,test_loss_final,ece_best,ece_final,entropy_mean_best,conf_mean_best,teacher_test_acc,teacher_ece,teacher_conf_mean,teacher_entropy_mean,teacher_soft_entropy,teacher_soft_conf,agreement_overlap,agreement_nonoverlap
breastcancer,0.2,Baseline-Full,0,9,0.9670329689979553,27.87912094593048,0.027472525507539203,0.9945054945054945,0.9670329689979553,30,0.9912280701754386,0.9824561403508771,0.04333789274096489,0.03814776986837387,0.035668548261910155,0.0204987787363822,0.09389223158359528,0.966920018196106,,,,,,,,
breastcancer,0.3,Baseline-Full,0,9,0.9670329689979553,27.87912094593048,0.027472525507539203,0.9945054945054945,0.9670329689979553,30,0.9912280701754386,0.9824561403508771,0.04333789274096489,0.03814776986837387,0.035668548261910155,0.0204987787363822,0.09389223158359528,0.966920018196106,,,,,,,,
breastcancer,0.4,Baseline-Full,0,9,0.9670329689979553,27.87912094593048,0.027472525507539203,0.9945054945054945,0.9670329689979553,30,0.9912280701754386,0.9824561403508771,0.04333789274096489,0.03814776986837387,0.035668548261910155,0.0204987787363822,0.09389223158359528,0.966920018196106,,,,,,,,
breastcancer,0.5,Baseline-Full,0,9,0.9670329689979553,27.87912094593048,0.027472525507539203,0.9945054945054945,0.9670329689979553,30,0.9912280701754386,0.9824561403508771,0.04333789274096489,0.03814776986837387,0.035668548261910155,0.0204987787363822,0.09389223158359528,0.966920018196106,,,,,,,,
breastcancer,0.6,Baseline-Full,0,9,0.9670329689979553,27.87912094593048,0.027472525507539203,0.9945054945054945,0.9670329689979553,30,0.9912280701754386,0.9824561403508771,0.04333789274096489,0.03814776986837387,0.035668548261910155,0.0204987787363822,0.09389223158359528,0.966920018196106,,,,,,,,
breastcancer,0.7,Baseline-Full,0,9,0.9670329689979553,27.87912094593048,0.027472525507539203,0.9945054945054945,0.9670329689979553,30,0.9912280701754386,0.9824561403508771,0.04333789274096489,0.03814776986837387,0.035668548261910155,0.0204987787363822,0.09389223158359528,0.966920018196106,,,,,,,,
breastcancer,0.8,Baseline-Full,0,9,0.9670329689979553,27.87912094593048,0.027472525507539203,0.9945054945054945,0.9670329689979553,30,0.9912280701754386,0.9824561403508771,0.04333789274096489,0.03814776986837387,0.035668548261910155,0.0204987787363822,0.09389223158359528,0.966920018196106,,,,,,,,
breastcancer,0.2,Baseline-Full,1,12,0.9780219793319702,31.18131873011589,0.019230767920777048,0.9972527472527473,0.9780219793319702,33,0.9824561403508771,0.9824561403508771,0.07888923585414886,0.09297677874565125,0.012997908027548579,0.014800100995783168,0.05330554395914078,0.9834185838699341,,,,,,,,
breastcancer,0.3,Baseline-Full,1,12,0.9780219793319702,31.18131873011589,0.019230767920777048,0.9972527472527473,0.9780219793319702,33,0.9824561403508771,0.9824561403508771,0.07888923585414886,0.09297677874565125,0.012997908027548579,0.014800100995783168,0.05330554395914078,0.9834185838699341,,,,,,,,
breastcancer,0.4,Baseline-Full,1,12,0.9780219793319702,31.18131873011589,0.019230767920777048,0.9972527472527473,0.9780219793319702,33,0.9824561403508771,0.9824561403508771,0.07888923585414886,0.09297677874565125,0.012997908027548579,0.014800100995783168,0.05330554395914078,0.9834185838699341,,,,,,,,
