key,e_star,best_val_acc,auc_val,final_gen_gap,train_acc_final,val_acc_final,n_epochs,test_acc_best,test_acc_final,test_loss_best,test_loss_final,ece_best,ece_final,entropy_mean_best,conf_mean_best,teacher_test_acc
"('wine', 'sens-LS', 0.05, 1)",299,0.9642857313156128,272.10714127123356,0.03571426868438721,1.0,0.9642857313156128,300,0.9722222222222222,0.9722222222222222,0.16022855043411255,0.16022855043411255,0.07896456784672207,0.07896456784672207,0.32246676087379456,0.8932576775550842,
"('wine', 'sens-LS', 0.1, 1)",299,0.9642857313156128,280.2500010281801,0.03571426868438721,1.0,0.9642857313156128,300,0.9722222222222222,0.9722222222222222,0.19663266837596893,0.19663266837596893,0.1407637157373958,0.1407637157373958,0.436453640460968,0.8562306761741638,
"('wine', 'sens-LS', 0.2, 1)",41,0.9285714030265808,50.732141837477684,0.07142859697341919,1.0,0.9285714030265808,62,0.9444444444444444,0.9444444444444444,0.28863033652305603,0.3008006811141968,0.22005305108096868,0.17655894491407606,0.608701765537262,0.7754817008972168,
"('wine', 'sens-LS', 0.3, 1)",36,0.9285714030265808,46.39285649359226,0.03571426868438721,1.0,0.9642857313156128,57,0.9444444444444444,0.9444444444444444,0.36448824405670166,0.38052573800086975,0.24898480623960495,0.2371415396531423,0.7287318706512451,0.7156892418861389,
"('wine', 'sens-KD', 1.0, 0.3, 1)",43,0.8928571343421936,51.6071422547102,0.1071428656578064,1.0,0.8928571343421936,64,0.9722222222222222,0.9722222222222222,0.16459426283836365,0.12095839530229568,0.13191445171833038,0.09153736299938625,0.3525107800960541,0.8757055997848511,0.9166666666666666
"('wine', 'sens-KD', 1.0, 0.5, 1)",43,0.8928571343421936,51.642856523394585,0.1071428656578064,1.0,0.8928571343421936,64,0.9722222222222222,0.9722222222222222,0.16517673432826996,0.11906642466783524,0.13338043044010797,0.0924896564748552,0.35816970467567444,0.8738213181495667,0.9166666666666666
"('wine', 'sens-KD', 1.0, 0.7, 1)",43,0.9285714030265808,51.749999329447746,0.1071428656578064,1.0,0.8928571343421936,64,0.9722222222222222,0.9722222222222222,0.1656005084514618,0.11817909777164459,0.1123729281955295,0.07509940448734495,0.3625223636627197,0.8727505207061768,0.9166666666666666
"('wine', 'sens-KD', 2.0, 0.3, 1)",41,0.9285714030265808,49.5357136875391,0.1071428656578064,1.0,0.8928571343421936,62,0.9722222222222222,0.9722222222222222,0.14946141839027405,0.11152056604623795,0.12098654939068687,0.06846682065063053,0.31954634189605713,0.8861294388771057,0.9166666666666666
"('wine', 'sens-KD', 2.0, 0.5, 1)",41,0.9285714030265808,49.535713747143745,0.1071428656578064,1.0,0.8928571343421936,62,0.9722222222222222,0.9722222222222222,0.14087677001953125,0.1112942025065422,0.11451004611121283,0.05537817709975773,0.3020470142364502,0.8925597071647644,0.9166666666666666
"('wine', 'sens-KD', 2.0, 0.7, 1)",41,0.9285714030265808,49.49999941885471,0.1071428656578064,1.0,0.8928571343421936,62,0.9722222222222222,0.9444444444444444,0.13590320944786072,0.11273641139268875,0.07627271778053707,0.06953514615694681,0.29251381754875183,0.8959496021270752,0.9166666666666666
"('wine', 'sens-KD', 4.0, 0.3, 1)",41,0.8928571343421936,49.05357106029987,0.07142859697341919,1.0,0.9285714030265808,62,0.9722222222222222,0.9722222222222222,0.13469189405441284,0.11591187864542007,0.10841627915700276,0.06916403936015235,0.2800332307815552,0.8988530039787292,0.9166666666666666
"('wine', 'sens-KD', 4.0, 0.5, 1)",295,1.0,280.73214577138424,0.0,1.0,1.0,300,0.9722222222222222,0.9722222222222222,0.10915237665176392,0.10922534763813019,0.0735330879688263,0.07355015807681613,0.15678736567497253,0.9449549913406372,0.9166666666666666
"('wine', 'sens-KD', 4.0, 0.7, 1)",295,0.9642857313156128,279.0714323967695,0.03571426868438721,1.0,0.9642857313156128,300,0.9722222222222222,0.9722222222222222,0.10823185741901398,0.10832061618566513,0.06672835350036621,0.06669136550691392,0.15973372757434845,0.9435405731201172,0.9166666666666666
