dataset,alpha,metric,contrast,n_seeds,mean_diff,ci_low,ci_high,p_wilcoxon,p_holm,r_rank_biserial,sig
cifar10,0.2,test_acc_best,Distill-S vs Baseline-LS,20,0.010419999999999974,0.003784999999999988,0.016430124999999962,0.008483827620686082,0.016967655241372163,0.6714285714285714,*
cifar10,0.4,test_acc_best,Distill-S vs Baseline-LS,20,-0.00011500000000001509,-0.00539512500000001,0.005380124999999972,0.9272785186767578,0.9272785186767578,-0.02857142857142857,ns
cifar10,0.6,test_acc_best,Distill-S vs Baseline-LS,20,-0.013115000000000016,-0.019400125000000018,-0.0066697500000000185,0.001689910888671875,0.005069732666015625,-0.7619047619047619,**
cifar10,0.8,test_acc_best,Distill-S vs Baseline-LS,20,-0.025855000000000006,-0.032340249999999994,-0.019034875000000014,9.5367431640625e-06,4.76837158203125e-05,-0.9714285714285714,***
cifar10,1.0,test_acc_best,Distill-S vs Baseline-LS,20,-0.024120000000000013,-0.030680250000000006,-0.01721000000000002,1.9073486328125e-05,7.62939453125e-05,-0.9523809523809523,***
cifar10,0.0,test_acc_final,Distill-S vs Baseline-LS,20,0.02911999999999999,0.02244987499999999,0.03596499999999998,1.9073486328125e-06,1.1444091796875e-05,1.0,***
cifar10,0.2,test_acc_final,Distill-S vs Baseline-LS,20,0.021724999999999977,0.013394999999999985,0.030170124999999978,6.29425048828125e-05,0.0003147125244140625,0.9142857142857143,***
cifar10,0.4,test_acc_final,Distill-S vs Baseline-LS,20,0.016824999999999986,0.009789999999999988,0.024040124999999992,0.0001678466796875,0.0005035400390625,0.8761904761904762,***
cifar10,0.6,test_acc_final,Distill-S vs Baseline-LS,20,0.015304999999999996,0.00936987499999999,0.021910125000000016,8.20159912109375e-05,0.00032806396484375,0.9047619047619048,***
cifar10,0.8,test_acc_final,Distill-S vs Baseline-LS,20,0.009944999999999987,0.005514874999999992,0.014790374999999996,0.001161273127949132,0.002322546255898264,0.8285714285714286,**
cifar10,1.0,test_acc_final,Distill-S vs Baseline-LS,20,0.01183499999999998,0.004524499999999969,0.019100124999999964,0.013616561889648438,0.013616561889648438,0.6190476190476191,*
cifar10,0.0,test_loss_best,Distill-S vs Baseline-LS,20,-0.07182491719722747,-0.08258957222104073,-0.06051464773714543,1.9073486328125e-06,1.1444091796875e-05,-1.0,***
cifar10,0.2,test_loss_best,Distill-S vs Baseline-LS,20,-0.05336304306983948,-0.06553875885903834,-0.04051172576844692,1.9073486328125e-06,1.1444091796875e-05,-1.0,***
cifar10,0.4,test_loss_best,Distill-S vs Baseline-LS,20,-0.018178960680961607,-0.0306313993781805,-0.00654330611228943,0.009435653686523438,0.018871307373046875,-0.6476190476190476,*
cifar10,0.6,test_loss_best,Distill-S vs Baseline-LS,20,0.011319753527641297,4.150733351707512e-05,0.02161747172474861,0.05316925048828125,0.05316925048828125,0.49523809523809526,ns
cifar10,0.8,test_loss_best,Distill-S vs Baseline-LS,20,0.04376382231712341,0.029971867725253103,0.05691988892853259,2.6702880859375e-05,0.0001068115234375,0.9428571428571428,***
cifar10,1.0,test_loss_best,Distill-S vs Baseline-LS,20,0.03229512870311737,0.01714654378592968,0.04697972968220711,0.000209808349609375,0.000629425048828125,0.8666666666666667,***
cifar10,0.0,test_loss_final,Distill-S vs Baseline-LS,20,-0.1260126680135727,-0.14743771329522132,-0.10408075608313083,1.9073486328125e-06,1.1444091796875e-05,-1.0,***
cifar10,0.2,test_loss_final,Distill-S vs Baseline-LS,20,-0.09695981442928314,-0.12118171453475952,-0.07278807461261749,3.814697265625e-06,1.9073486328125e-05,-0.9904761904761905,***
cifar10,0.4,test_loss_final,Distill-S vs Baseline-LS,20,-0.0534433513879776,-0.07894413508474826,-0.02753126904368401,0.0005855560302734375,0.001171112060546875,-0.819047619047619,**
cifar10,0.6,test_loss_final,Distill-S vs Baseline-LS,20,0.0005807310342788641,-0.022806911095976826,0.021568414345383632,0.26109886169433594,0.26109886169433594,0.29523809523809524,ns
cifar10,0.8,test_loss_final,Distill-S vs Baseline-LS,20,0.11960954368114471,0.09806660465896125,0.13915491692721846,3.814697265625e-06,1.9073486328125e-05,0.9904761904761905,***
cifar10,1.0,test_loss_final,Distill-S vs Baseline-LS,20,0.43043127954006194,0.3368575123697519,0.5076015079021453,5.7220458984375e-06,1.9073486328125e-05,0.9809523809523809,***
