dataset,alpha,metric,contrast,n_seeds,mean_diff,ci_low,ci_high,p_wilcoxon,p_holm,r_rank_biserial,sig
cifar10,0.4,ece_final,Distill-S vs Baseline-Half,20,-0.0752406081828475,-0.08332083951061217,-0.06778267871424741,1.9073486328125e-06,1.1444091796875e-05,-1.0,***
cifar10,0.6,ece_final,Distill-S vs Baseline-Half,20,-0.06000900209337475,-0.06710203552031145,-0.0533534582349565,1.9073486328125e-06,1.1444091796875e-05,-1.0,***
cifar10,0.8,ece_final,Distill-S vs Baseline-Half,20,-0.038160513442829246,-0.043853062866074974,-0.032847475918345165,1.9073486328125e-06,1.1444091796875e-05,-1.0,***
cifar10,1.0,ece_final,Distill-S vs Baseline-Half,20,-0.011337271064519901,-0.025761005706693995,0.0010081945166773884,0.2305126190185547,0.2305126190185547,-0.3142857142857143,ns
cifar10,0.0,final_gen_gap,Distill-S vs Baseline-Half,20,-0.10090249999999996,-0.10580762499999999,-0.09664981249999996,1.9073486328125e-06,1.1444091796875e-05,-1.0,***
cifar10,0.2,final_gen_gap,Distill-S vs Baseline-Half,20,-0.07820499999999998,-0.08308506250000004,-0.07373749999999997,1.9073486328125e-06,1.1444091796875e-05,-1.0,***
cifar10,0.4,final_gen_gap,Distill-S vs Baseline-Half,20,-0.05909749999999999,-0.064117625,-0.054089874999999975,1.9073486328125e-06,1.1444091796875e-05,-1.0,***
cifar10,0.6,final_gen_gap,Distill-S vs Baseline-Half,20,-0.03973250000000001,-0.044350062500000044,-0.03538487499999996,1.9073486328125e-06,1.1444091796875e-05,-1.0,***
cifar10,0.8,final_gen_gap,Distill-S vs Baseline-Half,20,-0.016960000000000013,-0.02186762500000002,-0.012262375000000013,5.7220458984375e-06,1.1444091796875e-05,-0.9809523809523809,***
cifar10,1.0,final_gen_gap,Distill-S vs Baseline-Half,20,-0.00281750000000001,-0.010322562500000004,0.004487625000000032,0.5705966949462891,0.5705966949462891,-0.1523809523809524,ns
cifar10,0.0,test_acc_best,Distill-S vs Baseline-Half,20,0.043854999999999984,0.03935487499999997,0.048044999999999984,1.9073486328125e-06,1.1444091796875e-05,1.0,***
cifar10,0.2,test_acc_best,Distill-S vs Baseline-Half,20,0.03645999999999998,0.02949949999999997,0.04296549999999997,1.9073486328125e-06,1.1444091796875e-05,1.0,***
cifar10,0.4,test_acc_best,Distill-S vs Baseline-Half,20,0.025924999999999986,0.019154749999999988,0.03310512499999998,9.5367431640625e-06,3.814697265625e-05,0.9714285714285714,***
cifar10,0.6,test_acc_best,Distill-S vs Baseline-Half,20,0.012924999999999987,0.00812974999999997,0.018555124999999978,6.29425048828125e-05,0.0001888275146484375,0.9142857142857143,***
cifar10,0.8,test_acc_best,Distill-S vs Baseline-Half,20,0.00018499999999999628,-0.005240000000000011,0.005350125000000008,0.8373005793912056,1.0,-0.05238095238095238,ns
cifar10,1.0,test_acc_best,Distill-S vs Baseline-Half,20,0.0019199999999999883,-0.004050125000000025,0.00869512499999999,0.8408222198486328,1.0,0.05714285714285714,ns
cifar10,0.0,test_acc_final,Distill-S vs Baseline-Half,20,0.022714999999999996,0.014689874999999991,0.030565125,0.00036305162325555364,0.002178309739533322,0.9095238095238095,**
cifar10,0.2,test_acc_final,Distill-S vs Baseline-Half,20,0.015319999999999983,0.006189874999999973,0.024235374999999983,0.005729764736498867,0.028648823682494336,0.7047619047619048,*
cifar10,0.4,test_acc_final,Distill-S vs Baseline-Half,20,0.01041999999999999,0.002124749999999988,0.018544999999999996,0.03623390197753906,0.14493560791015625,0.5333333333333333,ns
cifar10,0.6,test_acc_final,Distill-S vs Baseline-Half,20,0.008900000000000002,0.0014348749999999921,0.016305000000000007,0.05689299188125912,0.17067897564377735,0.4857142857142857,ns
cifar10,0.8,test_acc_final,Distill-S vs Baseline-Half,20,0.0035399999999999932,-0.0039750000000000115,0.011024999999999997,0.4114239954629041,0.7961258514512393,0.20952380952380953,ns
cifar10,1.0,test_acc_final,Distill-S vs Baseline-Half,20,0.005429999999999985,-0.00536500000000002,0.016320124999999987,0.39806292572561963,0.7961258514512393,0.22105263157894736,ns
cifar10,0.0,test_loss_best,Distill-S vs Baseline-Half,20,-0.1072569191455841,-0.12178139299154281,-0.09308726839721204,1.9073486328125e-06,1.1444091796875e-05,-1.0,***
