dataset,alpha,group,seed,e_star,best_val_acc,auc_val,final_gen_gap,train_acc_final,val_acc_final,n_epochs,test_acc_best,test_acc_final,test_loss_best,test_loss_final,ece_best,ece_final,entropy_mean_best,conf_mean_best,teacher_test_acc,teacher_ece,teacher_conf_mean,teacher_entropy_mean,teacher_soft_entropy,teacher_soft_conf,agreement_overlap,agreement_nonoverlap
cifar10,0.4,Distill-S,0,6,0.7599,19.56875,0.15635,0.94355,0.7872,27,0.7651,0.7828,0.7115681171417236,0.7240204811096191,0.0513191112369299,0.0915714530050754,0.5153939127922058,0.8159971833229065,0.7881,0.1518217380061745,0.9399216771125792,0.1527806669473648,0.0921453908085823,0.9641841650009156,0.912625,0.8558333333333333
cifar10,0.6,Distill-S,0,6,0.7529,19.4345,0.1745999999999999,0.9561,0.7815,27,0.7473,0.7791,0.7547922134399414,0.7727607488632202,0.0662684898018837,0.0994643571019172,0.5189613699913025,0.8135684132575989,0.7732,0.1762024690240621,0.9494024515151978,0.1277429908514022,0.0605027712881565,0.976922571659088,0.8963333333333333,0.83
cifar10,0.8,Distill-S,0,4,0.7478,17.8828,0.20715,0.97645,0.7693,25,0.7459,0.7654,0.7416654229164124,0.9265563488006592,0.0417357603013515,0.1327176026791334,0.5928120017051697,0.7876357436180115,0.7883,0.1573581963658332,0.9456582069396972,0.1354873031377792,0.0291624702513217,0.988731861114502,0.8544375,0.8245
cifar10,1.0,Distill-S,0,4,0.7506,17.9508,0.2038999999999999,0.9877,0.7838,25,0.7499,0.7815,0.7140678763389587,0.7751749753952026,0.0268456003203988,0.1018063734918832,0.6304449439048767,0.776745617389679,0.7671,0.1304087144047022,0.8975086808204651,0.2720288634300232,0.1194936037063598,0.9620532393455504,0.8541,
cifar10,0.0,Baseline-Full,1,6,0.8025,20.4517,0.1790250000000001,0.987925,0.8089,27,0.7948,0.8024,0.6251881122589111,1.1250916719436646,0.0642563613772392,0.1439363777935504,0.388028472661972,0.8581817150115967,,,,,,,,
cifar10,0.2,Baseline-Full,1,6,0.8025,20.4517,0.1790250000000001,0.987925,0.8089,27,0.7948,0.8024,0.6251881122589111,1.1250916719436646,0.0642563613772392,0.1439363777935504,0.388028472661972,0.8581817150115967,,,,,,,,
cifar10,0.4,Baseline-Full,1,6,0.8025,20.4517,0.1790250000000001,0.987925,0.8089,27,0.7948,0.8024,0.6251881122589111,1.1250916719436646,0.0642563613772392,0.1439363777935504,0.388028472661972,0.8581817150115967,,,,,,,,
cifar10,0.6,Baseline-Full,1,6,0.8025,20.4517,0.1790250000000001,0.987925,0.8089,27,0.7948,0.8024,0.6251881122589111,1.1250916719436646,0.0642563613772392,0.1439363777935504,0.388028472661972,0.8581817150115967,,,,,,,,
cifar10,0.8,Baseline-Full,1,6,0.8025,20.4517,0.1790250000000001,0.987925,0.8089,27,0.7948,0.8024,0.6251881122589111,1.1250916719436646,0.0642563613772392,0.1439363777935504,0.388028472661972,0.8581817150115967,,,,,,,,
cifar10,1.0,Baseline-Full,1,6,0.8025,20.4517,0.1790250000000001,0.987925,0.8089,27,0.7948,0.8024,0.6251881122589111,1.1250916719436646,0.0642563613772392,0.1439363777935504,0.388028472661972,0.8581817150115967,,,,,,,,
cifar10,0.0,Baseline-Half,1,5,0.7471,18.5056,0.21835,0.97665,0.7583,26,0.7468,0.7522,0.7392685413360596,1.3119440078735352,0.0359893706172704,0.173017551061511,0.6109229326248169,0.7827893495559692,,,,,,,,
cifar10,0.2,Baseline-Half,1,5,0.7471,18.5056,0.21835,0.97665,0.7583,26,0.7468,0.7522,0.7392685413360596,1.3119440078735352,0.0359893706172704,0.173017551061511,0.6109229326248169,0.7827893495559692,,,,,,,,
cifar10,0.4,Baseline-Half,1,5,0.7471,18.5056,0.21835,0.97665,0.7583,26,0.7468,0.7522,0.7392685413360596,1.3119440078735352,0.0359893706172704,0.173017551061511,0.6109229326248169,0.7827893495559692,,,,,,,,
cifar10,0.6,Baseline-Half,1,5,0.7471,18.5056,0.21835,0.97665,0.7583,26,0.7468,0.7522,0.7392685413360596,1.3119440078735352,0.0359893706172704,0.173017551061511,0.6109229326248169,0.7827893495559692,,,,,,,,
cifar10,0.8,Baseline-Half,1,5,0.7471,18.5056,0.21835,0.97665,0.7583,26,0.7468,0.7522,0.7392685413360596,1.3119440078735352,0.0359893706172704,0.173017551061511,0.6109229326248169,0.7827893495559692,,,,,,,,
cifar10,1.0,Baseline-Half,1,5,0.7471,18.5056,0.21835,0.97665,0.7583,26,0.7468,0.7522,0.7392685413360596,1.3119440078735352,0.0359893706172704,0.173017551061511,0.6109229326248169,0.7827893495559692,,,,,,,,
cifar10,0.0,Baseline-LS,1,8,0.7828,21.03165,0.2382999999999999,1.0,0.7617,29,0.7677,0.7536,0.7414939999580383,0.8220656514167786,0.0524927162647247,0.0621745786234736,0.930024027824402,0.7152072787284851,,,,,,,,
cifar10,0.2,Baseline-LS,1,8,0.7828,21.03165,0.2382999999999999,1.0,0.7617,29,0.7677,0.7536,0.7414939999580383,0.8220656514167786,0.0524927162647247,0.0621745786234736,0.930024027824402,0.7152072787284851,,,,,,,,
cifar10,0.4,Baseline-LS,1,8,0.7828,21.03165,0.2382999999999999,1.0,0.7617,29,0.7677,0.7536,0.7414939999580383,0.8220656514167786,0.0524927162647247,0.0621745786234736,0.930024027824402,0.7152072787284851,,,,,,,,
cifar10,0.6,Baseline-LS,1,8,0.7828,21.03165,0.2382999999999999,1.0,0.7617,29,0.7677,0.7536,0.7414939999580383,0.8220656514167786,0.0524927162647247,0.0621745786234736,0.930024027824402,0.7152072787284851,,,,,,,,
cifar10,0.8,Baseline-LS,1,8,0.7828,21.03165,0.2382999999999999,1.0,0.7617,29,0.7677,0.7536,0.7414939999580383,0.8220656514167786,0.0524927162647247,0.0621745786234736,0.930024027824402,0.7152072787284851,,,,,,,,
cifar10,1.0,Baseline-LS,1,8,0.7828,21.03165,0.2382999999999999,1.0,0.7617,29,0.7677,0.7536,0.7414939999580383,0.8220656514167786,0.0524927162647247,0.0621745786234736,0.930024027824402,0.7152072787284851,,,,,,,,
