dataset,alpha,group,seed,e_star,best_val_acc,auc_val,final_gen_gap,train_acc_final,val_acc_final,n_epochs,test_acc_best,test_acc_final,test_loss_best,test_loss_final,ece_best,ece_final,entropy_mean_best,conf_mean_best,teacher_test_acc,teacher_ece,teacher_conf_mean,teacher_entropy_mean,teacher_soft_entropy,teacher_soft_conf,agreement_overlap,agreement_nonoverlap
cifar10,0.0,Baseline-Full,4,3,0.7805,18.05325,0.18530000000000002,0.9857,0.8004,24,0.7781,0.7884,0.6489801406860352,1.1278423070907593,0.02961967406570913,0.15005674541294575,0.5440887808799744,0.8070164918899536,,,,,,,,
cifar10,0.2,Baseline-Full,4,3,0.7805,18.05325,0.18530000000000002,0.9857,0.8004,24,0.7781,0.7884,0.6489801406860352,1.1278423070907593,0.02961967406570913,0.15005674541294575,0.5440887808799744,0.8070164918899536,,,,,,,,
cifar10,0.4,Baseline-Full,4,3,0.7805,18.05325,0.18530000000000002,0.9857,0.8004,24,0.7781,0.7884,0.6489801406860352,1.1278423070907593,0.02961967406570913,0.15005674541294575,0.5440887808799744,0.8070164918899536,,,,,,,,
cifar10,0.6,Baseline-Full,4,3,0.7805,18.05325,0.18530000000000002,0.9857,0.8004,24,0.7781,0.7884,0.6489801406860352,1.1278423070907593,0.02961967406570913,0.15005674541294575,0.5440887808799744,0.8070164918899536,,,,,,,,
cifar10,0.8,Baseline-Full,4,3,0.7805,18.05325,0.18530000000000002,0.9857,0.8004,24,0.7781,0.7884,0.6489801406860352,1.1278423070907593,0.02961967406570913,0.15005674541294575,0.5440887808799744,0.8070164918899536,,,,,,,,
cifar10,1.0,Baseline-Full,4,3,0.7805,18.05325,0.18530000000000002,0.9857,0.8004,24,0.7781,0.7884,0.6489801406860352,1.1278423070907593,0.02961967406570913,0.15005674541294575,0.5440887808799744,0.8070164918899536,,,,,,,,
cifar10,0.0,Baseline-Half,4,6,0.7523,19.1504,0.2502000000000001,0.9805,0.7303,27,0.7551,0.7292,0.74458909034729,1.5972859859466553,0.05482585033476355,0.1975271091192961,0.5278059840202332,0.8099258542060852,,,,,,,,
cifar10,0.2,Baseline-Half,4,6,0.7523,19.1504,0.2502000000000001,0.9805,0.7303,27,0.7551,0.7292,0.74458909034729,1.5972859859466553,0.05482585033476355,0.1975271091192961,0.5278059840202332,0.8099258542060852,,,,,,,,
cifar10,0.4,Baseline-Half,4,6,0.7523,19.1504,0.2502000000000001,0.9805,0.7303,27,0.7551,0.7292,0.74458909034729,1.5972859859466553,0.05482585033476355,0.1975271091192961,0.5278059840202332,0.8099258542060852,,,,,,,,
cifar10,0.6,Baseline-Half,4,6,0.7523,19.1504,0.2502000000000001,0.9805,0.7303,27,0.7551,0.7292,0.74458909034729,1.5972859859466553,0.05482585033476355,0.1975271091192961,0.5278059840202332,0.8099258542060852,,,,,,,,
