key,e_star,best_val_acc,auc_val,final_gen_gap,train_acc_final,val_acc_final,n_epochs,test_acc_best,test_acc_final,test_loss_best,test_loss_final,ece_best,ece_final,entropy_mean_best,conf_mean_best,teacher_test_acc
"('breastcancer', 'sens-LS', 0.05, 0)",14,0.9560439586639404,32.45604404807091,0.03296703034704862,0.989010989010989,0.9560439586639404,35,0.9736842105263158,0.956140350877193,0.09806719422340393,0.10673095285892487,0.059717761842828045,0.0444055157795287,0.21382279694080353,0.9230429530143738,
"('breastcancer', 'sens-LS', 0.1, 0)",10,0.9780219793319702,28.593406677246094,0.04395604068106351,0.989010989010989,0.9450549483299255,31,0.9736842105263158,0.956140350877193,0.132446750998497,0.13310454785823822,0.0945604009586468,0.07854846381304557,0.2856619358062744,0.8918463587760925,
"('breastcancer', 'sens-LS', 0.2, 0)",8,0.9670329689979553,26.714285790920258,0.04395604068106351,0.989010989010989,0.9450549483299255,29,0.9736842105263158,0.9649122807017544,0.18621420860290527,0.18682761490345,0.14708722997130008,0.1238743668062645,0.38156837224960327,0.8447844982147217,
"('breastcancer', 'sens-LS', 0.3, 0)",120,0.9670329689979553,134.20879155397415,0.03296703100204468,1.0,0.9670329689979553,141,0.9385964912280702,0.9385964912280702,0.24398362636566162,0.2486083209514618,0.15116165761362044,0.13167345994397217,0.45142096281051636,0.8188257217407227,
"('breastcancer', 'sens-KD', 1.0, 0.3, 0)",16,0.9670329689979553,34.521978110075,0.03296703034704862,0.989010989010989,0.9560439586639404,37,0.9736842105263158,0.9824561403508771,0.058642156422138214,0.047471001744270325,0.034589640404048716,0.026059877977036593,0.11523452401161194,0.9593484997749329,1.0
"('breastcancer', 'sens-KD', 1.0, 0.5, 0)",16,0.9670329689979553,34.57692316174507,0.027472524852543034,0.9835164835164835,0.9560439586639404,37,0.9736842105263158,0.9824561403508771,0.05451379716396332,0.041860487312078476,0.043793319610127224,0.02326320085609168,0.110130175948143,0.9611555337905884,1.0
"('breastcancer', 'sens-KD', 1.0, 0.7, 0)",16,0.9670329689979553,34.64835172891617,0.02197801935803756,0.978021978021978,0.9560439586639404,37,0.9736842105263158,0.9912280701754386,0.050662729889154434,0.03664616867899895,0.04113123866549709,0.02876266680265728,0.10499312728643417,0.9627313017845154,1.0
"('breastcancer', 'sens-KD', 2.0, 0.3, 0)",15,0.9670329689979553,33.62087920308113,0.027472524852543034,0.9835164835164835,0.9560439586639404,36,0.9824561403508771,0.9824561403508771,0.046859703958034515,0.03582340478897095,0.02726542740537409,0.021669856288976837,0.07561992108821869,0.9725107550621033,1.0
"('breastcancer', 'sens-KD', 2.0, 0.5, 0)",16,0.9670329689979553,34.62087920308113,0.02197801935803756,0.978021978021978,0.9560439586639404,37,0.9824561403508771,0.9912280701754386,0.04026367887854576,0.029903415590524673,0.02963907310837193,0.022019587065044203,0.0637536272406578,0.9765991568565369,1.0
"('breastcancer', 'sens-KD', 2.0, 0.7, 0)",16,0.9780219793319702,34.719780296087265,0.016483513863532084,0.9725274725274725,0.9560439586639404,37,0.9824561403508771,0.9912280701754386,0.037602879106998444,0.025597255676984787,0.015042367734407125,0.019458256269756113,0.0597488135099411,0.9776957035064697,1.0
