dataset,alpha,metric,contrast,n_seeds,mean_diff,ci_low,ci_high,p_wilcoxon,p_holm,r_rank_biserial,sig
fashion_mnist,0.0,ece_final,Distill-S vs Baseline-Half,20,-0.03463116212226451,-0.0364046921118237,-0.03285232130306591,1.9073486328125e-06,1.1444091796875e-05,-1.0,***
fashion_mnist,0.2,ece_final,Distill-S vs Baseline-Half,20,-0.0305346239386499,-0.03308640700821951,-0.028103786609828495,1.9073486328125e-06,1.1444091796875e-05,-1.0,***
fashion_mnist,0.4,ece_final,Distill-S vs Baseline-Half,20,-0.027656499560400886,-0.0299201491269302,-0.025449014672573714,1.9073486328125e-06,1.1444091796875e-05,-1.0,***
fashion_mnist,0.6,ece_final,Distill-S vs Baseline-Half,20,-0.01940666810281575,-0.022419679618751628,-0.016453054864846165,1.9073486328125e-06,1.1444091796875e-05,-1.0,***
fashion_mnist,0.8,ece_final,Distill-S vs Baseline-Half,20,-0.014674156383126987,-0.01654186184556783,-0.01292486066663637,1.9073486328125e-06,1.1444091796875e-05,-1.0,***
fashion_mnist,1.0,ece_final,Distill-S vs Baseline-Half,20,-0.001607548984512694,-0.003709144269909724,0.0004920143846180126,0.20244979858398438,0.20244979858398438,-0.3333333333333333,ns
fashion_mnist,0.0,final_gen_gap,Distill-S vs Baseline-Half,20,-0.0384125,-0.04035005208333332,-0.03663125000000004,1.9073486328125e-06,1.1444091796875e-05,-1.0,***
fashion_mnist,0.2,final_gen_gap,Distill-S vs Baseline-Half,20,-0.032437500000000015,-0.03417505208333336,-0.03079786458333334,1.9073486328125e-06,1.1444091796875e-05,-1.0,***
fashion_mnist,0.4,final_gen_gap,Distill-S vs Baseline-Half,20,-0.025158333333333373,-0.027025052083333355,-0.02355828125000002,1.9073486328125e-06,1.1444091796875e-05,-1.0,***
fashion_mnist,0.6,final_gen_gap,Distill-S vs Baseline-Half,20,-0.01409375000000002,-0.01612093750000002,-0.012079114583333364,1.9073486328125e-06,1.1444091796875e-05,-1.0,***
fashion_mnist,0.8,final_gen_gap,Distill-S vs Baseline-Half,20,-0.008054166666666703,-0.010075052083333352,-0.005983333333333404,1.9073486328125e-06,1.1444091796875e-05,-1.0,***
fashion_mnist,1.0,final_gen_gap,Distill-S vs Baseline-Half,20,-0.001070833333333345,-0.0035042187500000086,0.0013126041666666353,0.40087572947628325,0.40087572947628325,-0.21428571428571427,ns
fashion_mnist,0.0,test_acc_best,Distill-S vs Baseline-Half,20,0.011330000000000002,0.009925000000000007,0.012814999999999993,1.9073486328125e-06,1.1444091796875e-05,1.0,***
fashion_mnist,0.2,test_acc_best,Distill-S vs Baseline-Half,20,0.00978500000000001,0.008029875,0.011605125000000025,8.844915021211901e-05,0.00044224575106059503,1.0,***
fashion_mnist,0.4,test_acc_best,Distill-S vs Baseline-Half,20,0.006034999999999996,0.004305000000000003,0.00770012500000001,0.00021852483499695252,0.0008740993399878101,0.9428571428571428,***
fashion_mnist,0.6,test_acc_best,Distill-S vs Baseline-Half,20,0.0004350000000000076,-0.001145125000000007,0.002015000000000011,0.6476554870605469,1.0,0.12380952380952381,ns
